"","species","timestep","sim_mean","sim_sd","sim_cv","true_mean","true_sd","true_cv","rel_err_mean","rel_err_cv","ratio","true_mean_rescale","sim_mean_rescale","true_cv_rescale","sim_cv_rescale"
"135",11,66,4522.53525955103,291.56112808289,0.0644685140855783,2165.89050055869,0.211069598118953,9.74516477469699e-05,108.807197703875,66054.3602145843,2.08807197703875,0.159388698227984,0.427839616453877,0.23879657954895,0.537471787636961
"136",11,67,4176.13672257066,237.479079456957,0.0568657338667721,2156.78776821733,0.208362053139416,9.66075829109674e-05,93.6276152948701,58762.5987249665,1.9362761529487,0.112565746867631,0.199777761494125,0.196974241912907,0.208753338222395
"137",11,68,4406.41944573976,283.733469501665,0.0643909353150631,2150.35612906821,0.231091607184749,0.000107466667525851,104.915799116918,59817.1229531,2.04915799116919,0.0794824576141263,0.351391291588521,0.735028054618663,0.534117544528875
"138",11,69,4804.95506777969,299.578045130383,0.0623477308121456,2146.07489833642,0.217216941958946,0.00010121591847858,123.895031413133,61498.7403457095,2.23895031413133,0.0574605140042418,0.613779158530106,0.42531140018343,0.445776306625596
"139",11,7,4656.18583046261,319.828820985552,0.0686890155657244,2306.84153468646,0.245851789154008,0.000106575066148799,101.842465572541,64351.2999596185,2.01842465572541,0.884417532171668,0.515832473999496,0.690850341915451,0.719951967568214
"140",11,70,4600.59716837824,303.525664616861,0.0659752752758088,2142.84567209191,0.213884063192694,9.98130971251395e-05,114.695683795418,65998.8158629053,2.14695683795418,0.0408499076820764,0.479234012873746,0.35580338873196,0.602619034806551
"141",11,71,4359.35321974474,264.927011266956,0.0607720911595387,2138.48191344978,0.204626416306201,9.56877002415699e-05,103.852704683963,63410.870264533,2.03852704683963,0.0184034541353567,0.320403831595328,0.151395227192556,0.377650988184866
"142",11,72,4509.30868796474,267.050294261708,0.0592220033581778,2134.90414416605,0.207142174235623,9.70264518909058e-05,111.218320985844,60936.9669343012,2.11218320985844,0,0.419131506780486,0.217728666403819,0.310630445192003
"143",11,8,4720.07135783406,321.481720711162,0.0681095043568754,2324.28138847067,0.249422252097786,0.00010731155587917,103.076588800626,63368.9375238997,2.03076588800626,0.974125258912067,0.557893424962001,0.727342470073449,0.694895866969648
"144",11,9,4738.86774606608,305.627473645393,0.064493775733477,2326.05258012333,0.234177265914605,0.000100675826469146,103.730035449793,63960.8356497998,2.03730035449793,0.983235976166224,0.570268590296433,0.398550528968747,0.538564015675643
"145",3,1,6161449.54462772,424104.804990507,0.0688319853824482,3170554.75260731,347.485134639486,0.000109597582048924,94.3334850016653,62704.291933851,1.94333485001665,0.218789040459337,0.114846365131409,0.296365610428617,0.348880125053661
"146",3,10,6021093.05875805,461762.182858731,0.076690756703564,3029172.22429075,349.473252899843,0.000115369225327447,98.7702452331786,66374.1888366644,1.98770245233179,0.157996414806101,0.0927049995625129,0.528398595300236,0.761203010192308
"147",3,11,6397583.78824479,489865.188099837,0.0765703434787266,3209456.7074796,388.350416171966,0.000121001917635131,99.3354131662006,63180.2727223022,1.99335413166201,0.235516368849126,0.152096760642989,0.754845439975978,0.754885339624595
"148",3,12,7332068.44378138,550436.129135511,0.0750724210167947,3584463.96051802,432.014378807632,0.0001205241239879,104.55132272335,62188.2942707235,2.0455132272335,0.396764550096581,0.29951258007276,0.73563706538145,0.67629446504879
"149",3,13,8254849.97955225,623767.842177178,0.0755638011256761,3867114.27850023,472.183730579843,0.000122102347273525,113.462788659913,61785.625307762,2.13462788659913,0.518300465293873,0.44508222152633,0.799085175752421,0.702075500774993
"150",3,14,9588156.73385393,706539.924868041,0.0736888167851267,4088358.19953675,477.250229511352,0.000116733956815581,134.523401959749,63025.4339313982,2.34523401959749,0.613432438316111,0.655412596211581,0.583263857316427,0.603701477496332
"151",3,15,9443668.90549987,734386.747675937,0.0777649825533633,4466436.38716977,544.273988519169,0.000121858667926547,111.436323880659,63715.7169092293,2.11436323880659,0.776001081005569,0.632619507541537,0.789288720305973,0.817563970905042
"152",3,16,10186843.4150083,710997.446282408,0.0697956587057081,4809146.3968633,573.699274597702,0.000119293368771616,111.822277268426,58407.5762587693,2.11822277268426,0.92336187285862,0.749855974346433,0.686157949521446,0.399440772353584
"153",3,17,8933001.20703781,682601.599842144,0.0764134677721033,4851712.79058322,587.483162154792,0.000121087786419478,84.1205692219877,63005.8424896695,1.84120569221988,0.941664861704805,0.552061205402405,0.758297557402126,0.746654607195816
"154",3,18,9984830.45059739,806071.63975168,0.0807296271819471,4793619.57894552,609.26880915622,0.000127099950073686,108.294177002544,63416.6474378189,2.08294177002544,0.916685545588901,0.717988242214471,1,0.973108747145576
"155",3,19,9729829.70133341,718202.919881619,0.0738145416649167,4656173.28052605,545.677996945519,0.000117194520922956,108.966228598652,62884.6353597388,2.08966228598652,0.857585446964773,0.677761637973047,0.601779565824704,0.610297832454443
"156",3,2,6190725.26166506,420464.477526489,0.0679184521610317,2946123.72584831,323.892483088566,0.00010993852031632,110.131204176855,61678.5758491325,2.10131204176855,0.122286653939679,0.11946463659353,0.310072092278454,0.300950157615578
"157",3,20,9404167.61087516,686361.305601708,0.072984801420169,4504431.85013774,532.20845874561,0.000118152183549927,108.775888363981,61671.8600091113,2.08775888363981,0.792338629811889,0.62638814174956,0.640279748028074,0.566764196259842
"158",3,21,8523454.56954761,567552.793407987,0.066587178799043,4306746.25470809,473.240338716346,0.000109883496897224,97.909374396735,60497.9793865893,1.97909374396735,0.707336426618278,0.487454844235716,0.307860027610789,0.231102792029492
"159",3,22,8046850.73711632,586288.947668301,0.0728594287158859,4057683.14190977,456.089448939917,0.000112401445107726,98.311461385549,64720.7224080233,1.98311461385549,0.600242567421786,0.412270148494636,0.409087184391107,0.560186318747523
"160",3,23,7888403.62991508,512392.771196369,0.064955191853169,3788728.05731691,411.04635559172,0.000108491913215543,108.207174296417,59770.9986099343,2.08207174296417,0.484595422262675,0.387274970664845,0.251915247280987,0.145478011954351
"161",3,24,8156269.20816696,555012.336729504,0.0680473293075913,3497821.11734652,382.802281735508,0.000109440211175209,133.181427366828,62077.6297549815,2.33181427366828,0.359509268321856,0.429531013587621,0.290038948887369,0.307711901242737
"162",3,25,7103824.04381804,471346.082507883,0.0663510356676222,3242696.02334277,345.079346920946,0.000106417420700821,119.071537778462,62249.7874978194,2.19071537778462,0.249808837022526,0.2635068147009,0.168516002550105,0.218713168604329
"163",3,26,7367974.74869398,458158.480039597,0.0621824172403426,2998214.3459609,311.250151649746,0.000103811841227781,145.745430396592,59799.1564978642,2.45745430396592,0.144684934733322,0.305176832909898,0.0637658727734595,0
"164",3,27,5660072.44627523,397100.443370788,0.0701581909313036,2843498.74212223,322.39706141115,0.000113380412881959,99.0531018153668,61778.5812716571,1.99053101815367,0.0781592621564469,0.035753663759537,0.448443881225391,0.418461599796627
"165",3,28,6413669.34029074,408754.25123809,0.0637317313305024,2752926.88005903,292.861738032304,0.000106381953023767,132.976378223065,59808.4050621483,2.32976378223065,0.0392145539899888,0.154634271368055,0.167090122505863,0.0812872177517391
"166",3,29,5715185.65642301,369227.680502852,0.064604669506737,2728569.13632303,294.445225305183,0.000107911953333157,109.457241905356,59767.9455901266,2.09457241905356,0.028741044891438,0.0444478236766672,0.228599561241154,0.127087301844478
"167",3,3,5648132.41983608,423968.606265314,0.0750635032522163,2786048.68177187,305.36650016354,0.000109605586636531,102.729135954795,68385.1069691716,2.02729135954795,0.0534564926260078,0.0338701135363071,0.296687412775963,0.675826580405034
"168",3,30,6056818.21504332,392051.225604725,0.0647289074370743,2753441.93950551,298.305822348391,0.000108339245534251,119.972614208494,59646.5000959516,2.19972614208494,0.039436022770411,0.0983406760360086,0.245777664607509,0.133605641644325
"169",3,31,6162395.06183667,434537.969486133,0.0705144615244161,2785804.84841269,317.633527282389,0.00011401858513649,121.206990337026,61744.7084218807,2.21206990337026,0.0533516474920079,0.114995521346352,0.474099834986781,0.437153900773434
"170",3,32,6300270.17824806,455629.787195117,0.0723190870080774,2827707.86955873,323.306408831741,0.000114335151913056,122.804846500329,63151.8396993702,2.22804846500329,0.0713693948657653,0.136745448586291,0.486826528327486,0.531836435181663
"171",3,33,6829795.14129038,490754.64540497,0.0718549583483187,3001339.13305716,345.659286483924,0.00011516835357817,127.558261113051,62291.2351925287,2.27558261113051,0.146028552041988,0.220278501668452,0.520323101145104,0.507485189898189
"172",3,34,7110629.61792548,469212.372223702,0.0659874578533587,3234340.59376368,345.113470565899,0.00010670288442452,119.847892075309,61742.2437305687,2.19847892075309,0.246216112315862,0.264580400316025,0.179992283513097,0.199637482695675
